| model         |                 test |      t/s (total) |       t/s (req) |     peak t/s |   peak t/s (req) |          ttfr (ms) |       est_ppt (ms) |      e2e_ttft (ms) |
|:--------------|---------------------:|-----------------:|----------------:|-------------:|-----------------:|-------------------:|-------------------:|-------------------:|
| glm-5.3-flash | ctx_pp @ d16384 (c1) |   1675.90 ± 3.10 |  1675.90 ± 3.10 |              |                  |    9783.52 ± 18.05 |    9776.88 ± 18.05 |    9783.52 ± 18.05 |
| glm-5.3-flash | ctx_tg @ d16384 (c1) |     18.84 ± 2.95 |    18.84 ± 2.95 | 19.33 ± 3.30 |     19.33 ± 3.30 |                    |                    |                    |
| glm-5.3-flash | pp2048 @ d16384 (c1) |    358.88 ± 2.16 |   358.88 ± 2.16 |              |                  |    5713.48 ± 34.49 |    5706.84 ± 34.49 |    5749.49 ± 85.40 |
| glm-5.3-flash |  tg128 @ d16384 (c1) |     23.55 ± 5.45 |    23.55 ± 5.45 | 24.00 ± 5.66 |     24.00 ± 5.66 |                    |                    |                    |
| glm-5.3-flash | ctx_pp @ d16384 (c2) | 1409.80 ± 179.93 | 953.10 ± 294.14 |              |                  | 18847.73 ± 5452.66 | 18841.09 ± 5452.66 | 19563.47 ± 5600.56 |
| glm-5.3-flash | ctx_tg @ d16384 (c2) |     14.54 ± 3.13 |    12.41 ± 5.80 | 26.00 ± 5.35 |     13.00 ± 5.77 |                    |                    |                    |
| glm-5.3-flash | pp2048 @ d16384 (c2) |   264.04 ± 36.27 |  190.12 ± 83.39 |              |                  | 12497.23 ± 4219.76 | 12490.59 ± 4219.76 | 12497.23 ± 4219.76 |
| glm-5.3-flash |  tg128 @ d16384 (c2) |     16.78 ± 3.50 |    14.10 ± 7.04 | 29.00 ± 7.79 |     14.50 ± 6.95 |                    |                    |                    |
